example_id,fidelity_level,feasible,tokens,state,achieved_fidelity
5a8db19d5542994ba4e3dd00,0.95,True,43,"[0, 0, 0, 1, 1, 0]",1.0
5ab29c24554299449642c932,0.6,True,46,"[0, 1, 0, 1, 0, 0]",1.0
5ab29c24554299449642c932,0.7,True,46,"[0, 1, 0, 1, 0, 0]",1.0
5ab29c24554299449642c932,0.8,True,46,"[0, 1, 0, 1, 0, 0]",1.0
5ab29c24554299449642c932,0.9,True,46,"[0, 1, 0, 1, 0, 0]",1.0
5ab29c24554299449642c932,0.95,True,46,"[0, 1, 0, 1, 0, 0]",1.0
5ab3b0bf5542992ade7c6e39,0.6,True,71,"[0, 0, 0, 1, 1, 0]",1.0
5ab3b0bf5542992ade7c6e39,0.7,True,71,"[0, 0, 0, 1, 1, 0]",1.0
5ab3b0bf5542992ade7c6e39,0.8,True,71,"[0, 0, 0, 1, 1, 0]",1.0
5ab3b0bf5542992ade7c6e39,0.9,True,71,"[0, 0, 0, 1, 1, 0]",1.0
5ab3b0bf5542992ade7c6e39,0.95,True,71,"[0, 0, 0, 1, 1, 0]",1.0
5ab3e45655429976abd1bcd4,0.6,True,80,"[0, 2, 1, 0, 0, 0]",1.0
5ab3e45655429976abd1bcd4,0.7,True,80,"[0, 2, 1, 0, 0, 0]",1.0
5ab3e45655429976abd1bcd4,0.8,True,80,"[0, 2, 1, 0, 0, 0]",1.0
5ab3e45655429976abd1bcd4,0.9,True,80,"[0, 2, 1, 0, 0, 0]",1.0
5ab3e45655429976abd1bcd4,0.95,True,80,"[0, 2, 1, 0, 0, 0]",1.0
5ab56e32554299637185c594,0.6,True,68,"[0, 0, 1, 1, 0, 0]",1.0
5ab56e32554299637185c594,0.7,True,68,"[0, 0, 1, 1, 0, 0]",1.0
5ab56e32554299637185c594,0.8,True,68,"[0, 0, 1, 1, 0, 0]",1.0
5ab56e32554299637185c594,0.9,True,68,"[0, 0, 1, 1, 0, 0]",1.0
5ab56e32554299637185c594,0.95,True,68,"[0, 0, 1, 1, 0, 0]",1.0
5abd94525542992ac4f382d2,0.6,True,48,"[0, 1, 1, 0, 0, 0]",1.0
5abd94525542992ac4f382d2,0.7,True,48,"[0, 1, 1, 0, 0, 0]",1.0
5abd94525542992ac4f382d2,0.8,True,48,"[0, 1, 1, 0, 0, 0]",1.0
5abd94525542992ac4f382d2,0.9,True,48,"[0, 1, 1, 0, 0, 0]",1.0
5abd94525542992ac4f382d2,0.95,True,48,"[0, 1, 1, 0, 0, 0]",1.0
5ac23ff0554299636651994d,0.6,True,125,"[0, 0, 1, 0, 0, 1]",1.0
5ac23ff0554299636651994d,0.7,True,125,"[0, 0, 1, 0, 0, 1]",1.0
5ac23ff0554299636651994d,0.8,True,125,"[0, 0, 1, 0, 0, 1]",1.0
5ac23ff0554299636651994d,0.9,True,125,"[0, 0, 1, 0, 0, 1]",1.0
5ac23ff0554299636651994d,0.95,True,125,"[0, 0, 1, 0, 0, 1]",1.0
5adbf0a255429947ff17385a,0.6,True,36,"[0, 0, 0, 0, 1, 1]",1.0
5adbf0a255429947ff17385a,0.7,True,36,"[0, 0, 0, 0, 1, 1]",1.0
5adbf0a255429947ff17385a,0.8,True,36,"[0, 0, 0, 0, 1, 1]",1.0
5adbf0a255429947ff17385a,0.9,True,36,"[0, 0, 0, 0, 1, 1]",1.0
5adbf0a255429947ff17385a,0.95,True,36,"[0, 0, 0, 0, 1, 1]",1.0
5adf37a95542995ec70e8f97,0.6,True,120,"[0, 1, 0, 1, 0, 0]",1.0
5adf37a95542995ec70e8f97,0.7,True,120,"[0, 1, 0, 1, 0, 0]",1.0
5adf37a95542995ec70e8f97,0.8,True,120,"[0, 1, 0, 1, 0, 0]",1.0
5adf37a95542995ec70e8f97,0.9,True,120,"[0, 1, 0, 1, 0, 0]",1.0
5adf37a95542995ec70e8f97,0.95,True,120,"[0, 1, 0, 1, 0, 0]",1.0
